,Actual,Prediction
187,128.15,127.8058639
188,155.52,155.8257324
189,157.13,156.5106088
190,149.48,150.3468195
191,154.35,153.719842
192,130.73,130.2353228
193,145.82,145.8597767
194,196.77,196.9292797
195,157.02,156.7623332
196,144.66,144.8888958
197,153.24,152.8523729
198,132.45,132.7528832
199,120.39,120.2371267
200,181.74,182.2530099
201,180.76,181.8068447
202,164.92,164.6789235
203,140.04,139.9510193
204,178.03,178.7327675
205,142.12,141.6071158
206,152.06,151.9028619
207,182.46,181.6445505
208,124.54,124.2386034
209,144.63,144.6128445
210,146.87,146.8951535
211,131.44,131.9310643
212,141.1,142.7383942
213,121.73,122.2238196
214,153.17,153.2794833
215,153.96,153.7138694
216,176.66,177.0007882
217,141.33,141.3736984
218,187.27,187.3578207
219,135.2,136.1816797
220,116.51,116.6691562
221,143.4,143.5731129
222,189.06,188.4242685
223,174.04,173.6877776
224,107.28,107.8588745
225,167.14,167.3759161
226,151.52,151.4955025
227,185.13,185.2287317
228,154.29,153.8393754
229,134.57,134.4218651
230,194.81,194.261394
231,136.17,136.8566285
232,148.56,147.9761117
233,181.14,180.9019022
234,163.05,162.5040716
235,128.6,129.0008212
236,153.39,154.3285262
237,136.24,136.8260074
238,109.77,109.4203617
239,184.51,183.9330694
240,199.47,199.1967294
241,91.2,92.08588196
242,124.34,124.0270424
243,147.05,147.168522
244,185.85,184.9259402
245,165.28,166.8568263
246,130.63,130.4112095
247,132.78,133.4536385
248,134.24,135.285941
249,128.95,129.3213492
250,157.5,157.2490912
251,132.86,133.1803623
252,130.76,129.5867194
253,177.8,177.0414349
254,197.11,197.1606888
255,182.75,182.7240802
256,119,119.4732093
257,152.28,151.9750169
258,141.89,141.2877033
259,110.45,112.2239777
260,136.75,136.5722343
261,132.17,132.6315856
262,156.04,156.0512265
263,148.51,146.802461
264,160.35,160.4148745
265,113.36,113.6873642
266,148.53,148.2753786
267,129.21,129.08725
268,179.56,179.8282538
269,154.99,155.269713
270,148.98,149.8203651
271,136.67,136.5276664
272,148.81,148.2753986
273,116.16,116.8094313
274,145.98,147.2529086
275,139.92,139.4684398
276,129.37,129.2561892
277,138.45,138.0616647
278,183.54,182.0977118
279,118.76,119.7241639
280,156.24,155.067227
281,148.87,148.6799995
282,137.58,137.7063688
283,118.98,120.7363591
284,145.93,145.5591771
285,169.67,169.9016934
286,139.25,139.17327
287,179.43,179.5602541
288,128.64,128.4963654
289,132.43,132.4932611
290,133.56,134.3930318
291,127.89,127.6242955
292,148.67,148.2593359
293,154.26,154.278122
294,201.14,200.2262436
295,178.17,178.6764066
296,190.87,190.9406645
297,145.79,145.7777895
298,159.95,159.4515931
299,123.02,122.7308429
300,184.34,184.5445974
301,156.79,156.4862911
302,133.22,133.6753947
303,135.34,136.3942828
304,133.34,134.0241408
305,117.74,119.3394077
306,198.91,198.713801
307,176.82,176.9957017
308,139.57,139.6333302
309,137.28,137.1433759
310,142.03,141.9521147
311,138.62,137.6641789
312,144.02,144.0016027
313,137.42,137.0813789
314,139.76,140.3739291
315,123.87,123.5995201
316,140.04,139.8063864
317,131.99,132.2732461
318,137.95,138.3219662
319,184.92,186.1334713
320,144.6,145.0681073
321,132.08,132.6778956
322,132.99,131.5888571
323,162.19,161.8665248
324,183.62,183.8912304
325,182.08,182.7649397
326,168.03,167.9496353
327,186.28,186.3343541
328,136.19,135.7233204
329,189.28,189.86763
330,126.31,125.5743703
331,148.84,149.5937117
332,135.16,134.8010387
333,152.83,152.8914262
334,153.38,154.068816
335,141.05,140.9833557
336,153.39,153.8506742
337,127.83,127.4375183
338,108.05,108.3037105
339,141.81,141.8388828
340,176.59,176.7128817
341,181.48,181.795347
342,141.04,140.5323733
343,140.77,143.0673971
344,137.46,137.1202424
345,128.32,128.083897
346,180.42,180.7903531
347,139.27,138.8393731
348,155.82,155.3408058
349,145.65,145.6894812
350,131.83,132.3255137
351,192.16,191.9704115
352,184.03,182.7405606
353,136.89,135.734487
354,98.29,99.66078016
355,114.78,114.4708945
356,132.34,131.8955305
357,132.69,132.3874501
358,116.88,117.3689141
359,181.3,180.9901329
360,145.76,145.5587861
361,145.79,145.6951535
362,118.95,118.4635819
363,187.82,188.7492113
364,163.71,162.2491827
365,147.96,148.5711663
366,133.06,133.0736603
367,141.73,142.0880202
368,175.02,175.3721479
369,152.98,152.5298444
370,139.52,139.0225673
371,144.74,144.9149884
372,134.39,134.5177337
373,142.54,142.151271
374,158.24,158.7485727
375,129.04,128.938518
376,156.31,155.6588203
377,113.88,114.7934813
378,142.51,143.1793801
379,111.81,109.5514658
380,159.4,159.5619251
381,140.04,139.8230873
382,160.37,160.6293724
383,168.73,168.0743541
384,127.33,127.3355961
385,133.43,133.7547316
386,139,137.9711149
387,128.97,128.9952691
388,173.7,172.1556365
389,150.13,149.5840318
390,185.34,185.5573264
391,164.44,164.1047779
392,119.34,119.0604444
393,190.34,189.9120481
394,123.6,125.0245429
395,153.01,152.0281105
396,173.95,173.773548
397,154.71,154.6108326
398,152.51,152.2203252
399,118.37,118.4983582
400,180.88,180.7858494
401,135.07,134.831145
402,153.38,153.1582971
403,162.65,162.3681089
404,128.32,128.5783
405,169.35,169.0968834
406,146.28,146.0084406
407,138.57,138.713557
408,175.13,175.0313432
409,118.96,119.582122
410,146.92,146.5791949
411,128.59,126.6203088
412,153.34,153.0013106
413,113.8,113.0129122
414,125.84,126.4206989
415,203.56,202.8556163
416,129.54,128.4761901
417,181.78,181.7449614
418,156.84,156.3691285
419,147.28,147.2838197
420,138.67,139.6540597
421,184.32,184.5506499
422,120.63,120.4209297
423,194.33,193.8490731
424,178.18,177.6253306
425,136.98,136.5233316
426,180.14,179.3631098
427,159.65,160.1140009
428,141.15,140.8010221
429,170.84,169.2384998
430,138.32,138.1796987
431,143.71,145.0687721
432,111.84,111.4457472
433,140.89,140.4832864
434,118.84,117.8064754
435,110.62,110.8007738
436,186.61,187.3284972
437,130.59,130.0946843
438,157.15,156.5316735
439,148.55,147.3745355
440,136.85,137.0285959
441,138.25,137.7941156
442,172.31,172.6749989
443,185.03,184.2100911
444,136.73,136.765711
445,134.51,135.1875482
446,135.04,135.2636015
447,156.91,157.1168363
448,156.64,156.9389396
449,139.09,139.1803083
450,149.82,150.1287336
451,115.3,114.6465132
452,191.8,191.7457563
453,176.54,175.5162141
454,125.4,126.4653432
455,119.53,119.8876047
456,195.97,197.3183643
457,128.4,127.7440069
458,147.52,147.2109011
459,160.04,160.5364357
460,178.55,178.8962615
461,186.39,187.0369985
462,138.4,138.8287159
463,139.24,139.4370924
464,161.36,162.1296785
465,115.54,115.2436362
466,145.66,146.1291243
467,146.91,147.4346105
468,151.99,151.7551369
469,121.62,122.8268795
470,139.51,139.4712419
471,117.53,116.3310353
472,146.75,147.2482087
473,175.97,176.5098139
474,135.45,135.5000486
475,176.54,176.5434617
476,141.17,141.5640308
477,206.31,205.5777271
478,145.4,146.2079415
479,142.93,140.5587974
480,112.21,112.4142868
481,200.26,199.5936057
482,144.9,144.0587232
483,121.52,121.1164139
484,183.08,183.824119
485,151.65,151.9374583
486,190.28,190.476486
487,155.34,154.6199431
488,154.62,154.741918
489,187.2,187.4260796
490,197.89,198.8246356
491,146.3,146.0347521
492,152.53,153.4199236
493,146.59,146.4896159
494,176.73,177.6511538
495,195.98,196.3017041
496,158.81,158.6187482
497,142.3,144.0697237
498,138.31,138.2150087
499,134.72,135.1771956
500,174.69,174.5755652
501,184.47,184.2664079
502,140.61,140.4347401
503,116.92,117.7268165
504,130.35,130.3710425
505,179.02,178.0314726
506,146.75,146.1866443
507,200.59,200.5883093
508,158.85,158.2166057
509,183.33,184.1623691
510,153.34,153.776515
511,115.4,115.1029124
512,173.8,174.5624983
513,152.03,151.738284
514,147.07,147.2745894
515,179.11,179.5885696
516,141.13,141.0593201
517,184.89,184.5955826
518,179.1,179.6331799
519,133.05,132.7290294
520,133.74,134.4981943
521,151.86,151.9723917
522,120.32,120.1553921
523,117.58,116.5289502
524,132.52,133.3026783
525,154.27,154.0684749
526,186,185.4539903
527,200.11,198.7327941
528,181.36,180.9870362
529,170.22,172.2644418
530,113.39,112.4568243
531,161.68,161.8696347
532,177.35,178.1099585
533,147.47,147.1824751
534,118.49,118.352473
535,180.27,180.308833
536,194.57,195.1823844
537,132.81,132.9746518
538,146.61,146.4090162
539,137.24,136.1772483
540,136.06,136.7871911
541,154.8,155.2374279
542,94.72,98.92644832
543,120.02,119.5738502
544,200.2,198.4323545
545,183.3,182.2887821
546,106.49,104.4065859
547,146.8,146.162185
548,155.2,154.428419
549,130.38,130.7737699
550,138.49,138.0148206
551,129.39,128.1458158
552,161.66,161.7042442
553,201.62,201.8903901
554,103.28,105.3809475
555,140.8,140.6671529
556,187.08,186.7979182
557,178.11,179.3970556
558,195.43,195.1130555
559,139.34,139.6312309
560,152.96,152.7362546
561,180.46,179.7835651
562,183.11,182.4874635
563,139.99,140.9428234
564,176.65,176.5936836
565,151.07,150.7120282
566,113.18,112.9089788
567,183.8,183.8650761
568,184.24,183.7650464
569,174.9,176.6346568
570,136.62,136.9281332
571,119.6,119.9291321
572,155.5,155.5484412
573,152.56,152.1061886
574,116.25,117.0620986
575,133.56,133.9048589
576,176.05,176.2684016
577,134.17,134.0534727
578,146.33,147.4238226
579,134.55,134.3703275
580,153.99,154.3739735
581,135.79,135.4220781
582,181.98,181.361964
583,120.59,120.4685682
584,150.68,150.5535273
585,167.28,167.0158783
586,141.63,142.1694027
587,118.11,117.6718224
588,165.67,168.3752698
589,183.96,183.3790533
590,162.57,163.3039817
591,156.21,155.8261064
592,185.95,185.811959
593,144.7,144.0000349
594,184.61,184.9439363
595,129.85,129.2746039
596,180.42,180.3930734
597,136.21,136.0973
598,111.69,111.09516
599,138.87,138.9777467
600,179.08,178.0683772
601,114.38,116.6768261
602,134.54,134.1588676
603,158.1,159.5155926
604,148.48,148.2201666
605,146.07,145.7654718
606,129.02,129.4199716
607,173.35,172.9661663
608,118.1,119.1859244
609,108.06,108.3687365
610,119.4,119.573552
611,140.04,140.059549
612,132.28,132.4199553
613,112.04,112.2310459
614,110.67,109.2722524
615,137.28,136.526873
616,112.9,112.8601915
617,146.11,146.7865556
618,136.29,136.3125148
619,155.8,157.0235482
620,196.67,196.7307286
621,185.02,185.6996315
622,131.86,131.4613591
623,126.75,127.1000398
624,150.75,151.7150279
625,166.84,166.3729806
626,154.87,154.1773098
627,178.15,177.9432523
628,148.3,148.1355208
629,113.37,113.0226842
630,149.02,149.4151356
631,133.86,135.0864485
632,139.24,139.9067594
633,177.97,176.967102
634,164.35,164.0462663
635,156.74,156.3229032
636,136.06,136.2422296
637,197.72,197.9924408
638,171.47,171.5050915
639,151.24,151.3496587
640,155.63,155.2477675
641,144.29,145.4339765
642,140.05,139.76969
643,119.46,119.0563353
644,143.05,142.0136137
645,188.92,188.970579
646,117.59,118.0083226
647,147.34,146.2089711
648,176.26,176.4479062
649,144.34,145.5639966
650,90.6,89.99641596
651,137.38,137.4915423
652,129.97,128.8630567
653,196.99,196.8742813
654,139.06,138.2744295
655,120.52,122.2496778
656,144.94,145.5691853
657,127.26,129.2986242
658,181.97,181.0736619
659,117.43,117.4330426
660,119.05,119.4846548
661,161.23,160.7537494
662,161.66,161.9469016
663,184.46,184.0613761
664,125.96,126.1261959
665,169.98,169.5382571
666,127.95,127.7924929
667,167.72,167.246101
668,144.69,144.833263
669,116.38,116.4940266
670,134.29,134.6694037
671,130.31,130.3346677
672,139.48,139.9067981
673,145.1,145.0701975
674,119.67,120.4071476
675,180.37,180.3244513
676,185.98,185.9298786
677,140.12,140.8768818
678,180.35,179.4739664
679,119.16,120.0221411
680,180.04,181.8376263
681,158.57,159.288139
682,160.98,161.7077138
683,163.22,163.3273109
684,145.23,145.8920925
685,126.58,126.6179493
686,114.19,115.253396
687,157.28,156.4542617
688,139.52,138.5511451
689,163.27,163.2481485
690,173.85,174.2843957
691,162.68,162.6269615
692,116.86,116.5938344
693,177.38,177.4186832
694,146.67,146.6447742
695,138.08,137.91415
696,167.09,166.2331948
697,180.88,180.447441
698,181.3,182.0989812
699,151.65,152.0604342
700,183.11,183.6176662
701,146.61,146.6830536
702,196.71,197.2401952
703,163.08,164.4690988
704,156.49,156.759985
705,133.53,133.3435413
706,138.83,138.7729494
707,196.67,196.3235679
708,185.99,184.9224264
709,133.91,133.9289857
710,129.95,129.9383645
711,122.6,122.113341
712,111.31,113.5283716
713,119.4,119.3121382
714,120.31,119.9403574
715,154.83,154.9884665
716,119.43,119.0618097
717,156.68,156.3260487
718,184.39,183.6834009
719,191.02,190.5163884
720,173.34,173.3171514
721,169.86,169.3279423
722,130.72,130.8411155
723,200.06,201.1930518
724,190.53,189.788055
725,142.01,140.2535035
726,174.24,174.2726152
727,120.73,119.6375408
728,166.13,165.7421775
729,148.84,148.2203725
730,175.13,174.0659361
731,135.64,136.3197024
732,165.85,165.1629059
733,181.71,181.2636646
734,172.13,172.6049052
735,173.49,172.2700119
736,183.84,183.2797776
737,135.54,135.2639734
738,116.1,115.6021328
739,180.6,181.1982876
740,160.89,161.6398418
741,163,162.1593711
742,122.74,122.9086978
743,150.05,149.6713933
744,188.55,188.302628
745,172.8,172.4260877
746,174.2,173.9536485
747,116.61,118.2279621
748,144.86,145.6229818
749,174.98,175.2890314
750,114.9,116.038371
751,156.78,157.0346719
752,125.64,125.9578711
753,119.41,118.275387
754,131.68,132.4223145
755,127.37,127.4484262
756,165.64,165.6433094
757,199.74,199.2258053
758,185.33,184.8459139
759,164.58,165.0742909
760,116.79,117.1430958
761,129.88,129.4214899
762,128.4,128.1963618
763,188.84,189.173008
764,192.25,191.5374052
765,158.09,157.9674562
766,105.7,105.711661
767,147.05,147.8506256
768,152.52,152.1511987
769,153.12,153.596189
770,175.77,175.4776437
771,182.84,183.4417041
772,119.3,118.654463
773,139.62,139.092555
774,196.92,197.3944791
775,129.18,129.1557633
776,179.32,179.0463822
777,151.89,151.5876928
778,137.88,137.2272779
779,174.84,174.5377706
780,186.6,187.3271236
781,176.03,175.9209958
782,141.2,140.3299879
783,147.66,148.5047304
784,145.38,146.1654468
785,117.75,117.8218229
786,165.2,165.8760334
787,133.2,133.6347736
788,193.06,194.0446979
789,154.95,154.6296884
790,113.15,112.6493429
791,195.52,195.7638879
792,135.86,135.7274743
793,151.25,151.9820141
794,169.89,169.275401
795,189.69,189.9178687
796,183.02,183.4484031
797,179.02,178.6907435
798,148.69,147.8993569
799,136.83,137.1493597
800,154.82,154.2961909
801,128.8,128.8745183
802,136.71,136.6421507
803,172.59,172.7841774
804,159.24,160.1908347
805,157.58,156.5167252
806,107.94,108.4176795
807,196,196.3119764
808,154.83,155.5270421
809,145.8,145.3930144
810,135.76,135.4448117
811,174.7,175.3832571
812,131.05,131.7826335
813,136.2,135.5687228
814,115.76,116.3011495
815,197.45,197.9871678
816,193.63,191.6810508
817,157.21,157.0449427
818,190.54,191.2986561
819,151.03,151.2066596
820,133.29,133.3583991
821,182.98,181.7313925
822,139.46,139.1958022
823,162.7,162.4637911
824,177.54,178.130106
825,137.9,140.5959523
826,151.69,151.3297221
827,162.05,161.1173374
828,120.18,120.0541275
829,115.02,115.3535797
830,158.39,157.1398236
